iter	RMSE
0	1.936423629
1	1.898150492
2	1.856657598
3	1.820030159
4	1.786900771
5	1.753640382
6	1.721017719
7	1.690171059
8	1.664108195
9	1.634185761
10	1.603675641
11	1.578921666
12	1.553709156
13	1.526522768
14	1.502552106
15	1.479433897
16	1.457502979
17	1.435787896
18	1.41591861
19	1.393780223
20	1.375742659
21	1.355121012
22	1.339476342
23	1.320865976
24	1.303637675
25	1.285759915
26	1.269695717
27	1.253942724
28	1.236552953
29	1.22290515
30	1.207759246
31	1.195132517
32	1.183625718
33	1.172514627
34	1.161693714
35	1.151780746
36	1.140495629
37	1.130124534
38	1.120333496
39	1.109265278
40	1.099315299
41	1.091771503
42	1.083982227
43	1.075227198
44	1.066549735
45	1.059838114
46	1.052167591
47	1.04517367
48	1.037783484
49	1.03158243
50	1.025822867
51	1.01904398
52	1.012103409
53	1.006495869
54	1.000673786
55	0.9944669305
56	0.9903274104
57	0.9846011567
58	0.9799007886
59	0.9748395213
60	0.970184261
61	0.9661849305
62	0.9610290636
63	0.9556668134
64	0.9514470504
65	0.9466242758
66	0.9423700626
67	0.9380710247
68	0.9343207148
69	0.9298027631
70	0.9261458989
71	0.9214106286
72	0.9176348385
73	0.9143262996
74	0.9096395779
75	0.906832921
76	0.903495282
77	0.9006704297
78	0.8978302035
79	0.8955002897
80	0.8927197352
81	0.8897211203
82	0.8877307872
83	0.8849370133
84	0.8822161665
85	0.8787689881
86	0.8747065513
87	0.872818089
88	0.8702325552
89	0.8670212406
90	0.8651099803
91	0.8630908902
92	0.8613411697
93	0.8595138723
94	0.8581798497
95	0.8556238594
96	0.8528208997
97	0.8503425128
98	0.8483003927
99	0.8466434047
100	0.8442526059
101	0.8421426853
102	0.8398408767
103	0.8374492052
104	0.8356830295
105	0.8336112247
106	0.8313535226
107	0.8298841213
108	0.8275959428
109	0.8249436529
110	0.8233441468
111	0.8220304694
112	0.8206879489
113	0.819276313
114	0.8176111791
115	0.8155457299
116	0.8144130949
117	0.8131923202
118	0.8114858545
119	0.8095429313
120	0.8080628311
121	0.8058709226
122	0.8029221322
123	0.8013870092
124	0.7996257397
125	0.7982236625
126	0.7969146435
127	0.7954642515
128	0.7941208618
129	0.7926487201
130	0.7904078131
131	0.7893038586
132	0.787129427
133	0.7861481068
134	0.7845100737
135	0.7829178342
136	0.7811228773
137	0.7794689179
138	0.7787022872
139	0.7766069029
140	0.7754513639
141	0.7740958739
142	0.7718228734
143	0.7705785839
144	0.7700168306
145	0.7677622024
146	0.7654466599
147	0.7632649667
148	0.7626146721
149	0.7608809334
150	0.7597122857
151	0.7585332889
152	0.7569874589
153	0.7550392546
154	0.7541323223
155	0.7529591673
156	0.7511471861
157	0.7492904751
158	0.7479926235
159	0.7469972044
160	0.7454347189
161	0.7442909236
162	0.7432647191
163	0.7419747977
164	0.7406412081
165	0.7389665783
166	0.7378379911
167	0.7352532123
168	0.7337361517
169	0.7326349158
170	0.7311882312
171	0.7294375079
172	0.7289907705
173	0.7277024875
174	0.7254969868
175	0.7244623886
176	0.7225808197
177	0.7217906836
178	0.720212204
179	0.7191837462
180	0.7183064814
181	0.7176834844
182	0.7165122456
183	0.7158390844
184	0.7149167138
185	0.7130290703
186	0.7109155787
187	0.709762375
188	0.7086880653
189	0.7067054797
190	0.7058596389
191	0.7050110673
192	0.7037032081
193	0.7027368993
194	0.7015676903
195	0.6999180902
196	0.6990129326
197	0.6982318661
198	0.6971370537
199	0.6954081739
200	0.6942690508
201	0.6938115488
202	0.6931868129
203	0.6902713382
204	0.6895277603
205	0.6893372816
206	0.6891736251
207	0.6886292366
208	0.6870127007
209	0.68636367
210	0.684635819
211	0.6835034123
212	0.6821920243
213	0.6818127523
214	0.6816217018
215	0.6805832665
216	0.6798161103
217	0.6794304354
218	0.6768004315
219	0.6758826663
220	0.6748597493
221	0.6722774373
222	0.6720486143
223	0.6708857231
224	0.6705202529
225	0.6692011744
226	0.6689875666
227	0.6687675612
228	0.667730305
229	0.6671195428
230	0.6651655258
231	0.6638141656
232	0.6624807463
233	0.659905985
234	0.6597145199
235	0.6595481315
236	0.6581921372
237	0.6571037183
238	0.6564890172
239	0.6552743218
240	0.6544383472
241	0.6526372608
242	0.6508126069
243	0.6498197088
244	0.6496740118
245	0.6494398296
246	0.6490392239
247	0.6483636028
248	0.6460497913
249	0.6458783685
250	0.6456212994
251	0.643743979
252	0.6431604355
253	0.6420985124
254	0.6419542126
255	0.6409855887
256	0.6400330954
257	0.6395296335
258	0.6385959244
259	0.6360159818
260	0.6346792192
261	0.6330487757
262	0.6318640587
263	0.6303896286
264	0.6293324564
265	0.6287046803
266	0.6275848296
267	0.6259325792
268	0.6254978436
269	0.6253510418
270	0.6242947473
271	0.6233336499
272	0.6225320937
273	0.6214832403
274	0.6204781921
275	0.6179575428
276	0.6159593904
277	0.6136851692
278	0.6127122072
279	0.6110566809
280	0.6087961515
281	0.6065419329
282	0.6064241065
283	0.6059439712
284	0.6051608709
285	0.6045019445
286	0.6040933101
287	0.6022767094
288	0.600380778
289	0.599707702
290	0.5987864606
291	0.5980465623
292	0.5970978431
293	0.5958434499
294	0.5937407575
295	0.5927264737
296	0.5924428091
297	0.5908064283
298	0.5900228668
299	0.5898796249
300	0.5894466905
301	0.5883717895
302	0.5873382553
303	0.5852391464
304	0.5843251631
305	0.5823131094
306	0.5812377363
307	0.5802536504
308	0.5786082238
309	0.5778416365
310	0.5761265559
311	0.5753131083
312	0.573830306
313	0.5723816389
314	0.5714715316
315	0.5701235311
316	0.5699859168
317	0.5689005226
318	0.5680337994
319	0.5675797023
320	0.566839627
321	0.5661824697
322	0.5652501445
323	0.5636843787
324	0.5629798988
325	0.5618975399
326	0.5603598875
327	0.5596768144
328	0.5582864844
329	0.5567447342
330	0.5557993612
331	0.5543609213
332	0.553658471
333	0.5530358726
334	0.5521349116
335	0.5511684179
336	0.5502031881
337	0.5495862611
338	0.5481657049
339	0.5475632059
340	0.5464336912
341	0.5453645704
342	0.5446525827
343	0.5440422933
344	0.5436938632
345	0.5430471171
346	0.542060939
347	0.5414960604
348	0.5413569823
