iter	Passed	Remaining
0	2	2511
1	4	2241
2	6	2216
3	8	2168
4	10	2110
5	12	2071
6	14	2040
7	16	2023
8	18	2010
9	20	2018
10	22	2020
11	24	2026
12	26	2015
13	28	2003
14	30	1988
15	32	1978
16	34	1972
17	36	1967
18	38	1968
19	40	1967
20	42	1958
21	43	1953
22	45	1945
23	47	1938
24	49	1932
25	51	1928
26	53	1926
27	55	1926
28	57	1921
29	59	1919
30	61	1916
31	63	1912
32	65	1907
33	67	1904
34	69	1906
35	71	1908
36	73	1905
37	75	1901
38	77	1899
39	78	1895
40	80	1891
41	82	1888
42	84	1888
43	86	1889
44	88	1886
45	90	1882
46	92	1877
47	94	1873
48	96	1870
49	98	1868
50	100	1865
51	102	1863
52	104	1862
53	106	1859
54	108	1857
55	109	1854
56	111	1851
57	114	1852
58	115	1849
59	118	1849
60	120	1848
61	121	1844
62	123	1841
63	125	1838
64	127	1835
65	129	1839
66	132	1841
67	134	1841
68	136	1837
69	138	1834
70	139	1831
71	141	1828
72	143	1826
73	145	1823
74	147	1821
75	149	1819
76	151	1818
77	153	1815
78	155	1813
79	157	1811
80	159	1809
81	161	1806
82	163	1803
83	165	1801
84	167	1801
85	169	1798
86	171	1795
87	172	1792
88	174	1791
89	176	1788
90	178	1786
91	180	1784
92	182	1784
93	184	1782
94	186	1780
95	188	1777
96	190	1776
97	192	1774
98	194	1771
99	196	1769
100	198	1768
101	200	1766
102	202	1764
103	204	1761
104	206	1759
105	208	1759
106	210	1756
107	212	1754
108	214	1752
109	216	1750
110	218	1747
111	220	1746
112	222	1744
113	224	1741
114	225	1738
115	227	1736
116	229	1734
117	231	1732
118	233	1730
119	235	1728
120	237	1726
121	239	1723
122	241	1721
123	243	1719
124	245	1716
125	247	1716
126	249	1713
127	251	1711
128	253	1709
129	255	1707
130	256	1704
131	258	1702
132	260	1700
133	262	1699
134	265	1699
135	267	1700
136	269	1699
137	271	1697
138	273	1694
139	275	1692
140	277	1690
141	279	1689
142	281	1687
143	283	1685
144	285	1682
145	287	1680
146	289	1677
147	291	1675
148	292	1673
149	295	1672
150	297	1670
151	299	1668
152	300	1665
153	302	1663
154	304	1660
155	306	1658
156	308	1656
157	310	1655
158	312	1653
159	314	1651
160	316	1649
161	318	1646
162	320	1644
163	322	1641
164	323	1639
165	325	1637
166	327	1635
167	329	1633
168	331	1631
169	333	1628
170	335	1626
171	337	1624
172	339	1621
173	341	1619
174	343	1618
175	345	1616
176	347	1614
177	349	1611
178	350	1609
179	352	1606
180	354	1604
181	356	1602
182	358	1601
183	360	1599
184	362	1597
185	364	1595
186	366	1593
187	368	1591
188	370	1588
189	372	1586
190	374	1584
191	376	1583
192	378	1580
193	379	1578
194	381	1575
195	383	1573
196	385	1571
197	387	1569
198	389	1567
199	391	1566
200	393	1563
201	395	1561
202	397	1559
203	398	1556
204	401	1555
205	403	1555
206	405	1553
207	407	1552
208	409	1550
209	411	1548
210	413	1546
211	415	1544
212	417	1541
213	419	1539
214	421	1537
215	423	1535
216	424	1533
217	426	1531
218	428	1529
219	430	1527
220	432	1526
221	434	1524
222	437	1523
223	439	1521
224	441	1519
225	443	1517
226	443	1511
227	445	1509
228	447	1507
229	449	1505
230	451	1503
231	453	1502
232	456	1501
233	458	1499
234	459	1497
235	461	1495
236	463	1493
237	465	1491
238	467	1490
239	470	1488
240	472	1487
241	474	1485
242	476	1483
243	478	1481
244	480	1479
245	482	1477
246	484	1475
247	486	1474
248	488	1472
249	489	1468
250	491	1467
251	493	1465
252	495	1463
253	497	1461
254	499	1459
255	501	1457
256	503	1455
257	505	1453
258	507	1452
259	509	1450
260	511	1447
261	513	1445
262	515	1443
263	517	1442
264	519	1439
265	521	1438
266	523	1436
267	525	1434
268	527	1432
269	529	1430
270	531	1428
271	533	1427
272	535	1425
273	537	1423
274	539	1422
275	541	1421
276	543	1419
277	546	1418
278	548	1416
279	550	1415
280	552	1413
281	554	1411
282	556	1409
283	558	1407
284	560	1405
285	562	1403
286	564	1401
287	566	1400
288	568	1398
289	570	1396
290	572	1394
291	574	1392
292	576	1390
293	578	1388
294	580	1387
295	582	1385
296	584	1383
297	586	1382
298	588	1380
299	590	1378
300	592	1376
301	594	1374
302	596	1372
303	599	1371
304	600	1369
305	602	1367
306	604	1365
307	606	1363
308	608	1361
309	610	1359
310	612	1357
311	614	1355
312	616	1353
313	618	1352
314	620	1350
315	622	1348
316	624	1346
317	626	1344
318	628	1342
319	631	1341
320	633	1339
321	634	1336
322	636	1334
323	638	1333
324	640	1331
325	642	1329
326	645	1327
327	647	1326
328	649	1324
329	651	1322
330	653	1320
331	655	1318
332	657	1316
333	659	1314
334	661	1313
335	663	1311
336	665	1309
337	667	1307
338	669	1305
339	671	1303
340	673	1301
341	675	1300
342	678	1299
343	680	1297
344	682	1295
345	684	1293
346	686	1291
347	688	1289
348	690	1287
349	692	1285
350	694	1284
351	696	1282
352	698	1280
353	700	1278
354	702	1276
355	704	1274
