iter	RMSE
0	1.929845025
1	1.891669765
2	1.850262291
3	1.813846982
4	1.78110011
5	1.748897351
6	1.716263406
7	1.68551947
8	1.659660778
9	1.629874794
10	1.599837871
11	1.574868152
12	1.54936713
13	1.52209187
14	1.496307183
15	1.474031503
16	1.452183188
17	1.430485738
18	1.410664268
19	1.390288463
20	1.372298362
21	1.350840656
22	1.335435044
23	1.316657488
24	1.299676552
25	1.28159207
26	1.266647365
27	1.251318323
28	1.233732192
29	1.220938971
30	1.20569004
31	1.193103414
32	1.181630037
33	1.170343227
34	1.159682867
35	1.149508826
36	1.138112603
37	1.127816929
38	1.117815064
39	1.107701604
40	1.09785285
41	1.090334629
42	1.082323024
43	1.074817109
44	1.066033209
45	1.058601733
46	1.050955735
47	1.043781061
48	1.036346242
49	1.030069403
50	1.023908282
51	1.018132813
52	1.012023569
53	1.006546847
54	1.000593773
55	0.9938075402
56	0.9870097939
57	0.9807855634
58	0.9755049363
59	0.9699733025
60	0.9654400805
61	0.9613780984
62	0.9558457643
63	0.9501503862
64	0.9445591757
65	0.9394872779
66	0.9347762495
67	0.9299828162
68	0.9262666971
69	0.9215197622
70	0.9178938503
71	0.9137507096
72	0.9101375956
73	0.9062027979
74	0.9032295939
75	0.9004683499
76	0.8973768113
77	0.8946438169
78	0.8918542706
79	0.8884627031
80	0.8861448346
81	0.8829951243
82	0.8809678253
83	0.8788233149
84	0.8761870241
85	0.872057681
86	0.8700370118
87	0.8676351383
88	0.865114678
89	0.8621163513
90	0.8601673426
91	0.8581089585
92	0.8563899857
93	0.8537725878
94	0.8523005791
95	0.8508802776
96	0.8483225781
97	0.8462203749
98	0.8443005098
99	0.841986251
100	0.8393904853
101	0.8375535547
102	0.8347864068
103	0.8329766258
104	0.8303148649
105	0.828188383
106	0.8261723525
107	0.8245587741
108	0.8219589594
109	0.8208424019
110	0.8194224213
111	0.8183316234
112	0.8170722392
113	0.8154727106
114	0.8139427037
115	0.8121530657
116	0.8104196108
117	0.8092253789
118	0.8079130588
119	0.8059886082
120	0.8046283816
121	0.8023318544
122	0.8001066151
123	0.7990110138
124	0.796945439
125	0.7955159804
126	0.7942685752
127	0.792391339
128	0.7908307497
129	0.7898042967
130	0.7877898267
131	0.7867464455
132	0.7847029913
133	0.7839971131
134	0.7824783804
135	0.7808373444
136	0.7791170733
137	0.7775351511
138	0.776036707
139	0.7740588122
140	0.7728774643
141	0.7717814752
142	0.7698136807
143	0.7674893163
144	0.7667913288
145	0.7654468386
146	0.7637821131
147	0.7614731054
148	0.7594345022
149	0.7578371174
150	0.75668806
151	0.7546135801
152	0.7528440975
153	0.7511525696
154	0.7505416116
155	0.749418934
156	0.748155942
157	0.7477035277
158	0.7463922099
159	0.7459247471
160	0.7443820097
161	0.7429017268
162	0.7420581435
163	0.7413828702
164	0.740484456
165	0.7391562607
166	0.7372611308
167	0.7352373908
168	0.7343791816
169	0.7335185256
170	0.7326197029
171	0.7309565715
172	0.730532296
173	0.7287739031
174	0.7265003321
175	0.7247276091
176	0.7227036936
177	0.7214692585
178	0.7199992235
179	0.7188646825
180	0.7179280577
181	0.7160360451
182	0.7145637567
183	0.713802189
184	0.7132764921
185	0.7108502184
186	0.7103450959
187	0.7096130591
188	0.7086952497
189	0.7065354165
190	0.7058570697
191	0.7048055614
192	0.7039257377
193	0.7033932399
194	0.7027482815
195	0.7010205311
196	0.700423128
197	0.6995235784
198	0.6983243001
199	0.6960715426
200	0.6950109085
201	0.6945372685
202	0.6941375766
203	0.6914970014
204	0.6902005816
205	0.6900366188
206	0.6899039299
207	0.6888749023
208	0.68779048
209	0.6862729565
210	0.6851384052
211	0.6837427879
212	0.6825412266
213	0.6807589513
214	0.6801455845
215	0.6795891877
216	0.6787828667
217	0.677797661
218	0.6774585339
219	0.6765317658
220	0.6763490316
221	0.6761750779
222	0.6755383361
223	0.6741427307
224	0.6736339893
225	0.673289725
226	0.6720309893
227	0.6713406469
228	0.6711913144
229	0.6703708906
230	0.667721591
231	0.6659531568
232	0.6642556595
233	0.6625585832
234	0.6620574472
235	0.6616885902
236	0.6608562412
237	0.6586398742
238	0.6565590833
239	0.6548266213
240	0.6544786258
241	0.6531934725
242	0.650765677
243	0.6506285232
244	0.6504803402
245	0.6487800258
246	0.6476794572
247	0.6462955699
248	0.6457904423
249	0.6455741959
250	0.6448996551
251	0.6439993981
252	0.6438645022
253	0.6429412938
254	0.6419934002
255	0.6413678449
256	0.6384074944
257	0.6357609791
258	0.634874102
259	0.6340421523
260	0.6327441902
261	0.630999188
262	0.6305353666
263	0.6292370291
264	0.6281927797
265	0.6266424112
266	0.6248761689
267	0.6243825655
268	0.6226336076
269	0.6217641214
270	0.6212077696
271	0.6196884984
272	0.6188801589
273	0.6184089609
274	0.6166954883
275	0.615831494
276	0.613236686
277	0.6121635252
278	0.6101057386
279	0.6089782452
280	0.6083571903
281	0.6072221537
282	0.6066292826
283	0.6054777468
284	0.605174113
285	0.6038440555
286	0.6028173639
287	0.6018833132
288	0.5997785905
289	0.5996243005
290	0.5986671939
291	0.5975040964
292	0.5959824926
293	0.595012465
294	0.5932033483
295	0.5916035384
296	0.5908684076
297	0.5903233444
298	0.5891398417
299	0.5885791992
300	0.5880341249
301	0.5873969359
302	0.5867300387
303	0.586041401
304	0.5840870128
305	0.5833190984
306	0.5826434745
307	0.5821049066
308	0.581432448
309	0.5795068205
310	0.5781759915
311	0.5771116679
312	0.5761449851
313	0.5745274331
314	0.5737358705
315	0.5731190626
316	0.5714904856
317	0.5704436802
318	0.5698319864
319	0.5686442717
320	0.5678156779
321	0.5671810939
322	0.5654127651
323	0.5648105925
324	0.564205033
325	0.5636749939
326	0.5619095995
327	0.5607729984
328	0.5598498519
329	0.5587630199
330	0.5584268012
331	0.5576410441
332	0.5566638489
333	0.5556371814
334	0.5549604981
335	0.5538202222
336	0.5527872607
337	0.551044766
338	0.5504276784
339	0.5490072331
340	0.5476160487
341	0.5464577013
342	0.5459783605
343	0.545846099
