iter	Passed	Remaining
0	2	2383
1	4	2190
2	6	2083
3	8	2024
4	10	2026
5	12	2063
6	15	2136
7	17	2131
8	19	2117
9	21	2091
10	23	2071
11	25	2060
12	27	2086
13	29	2095
14	31	2077
15	33	2061
16	35	2050
17	37	2038
18	39	2026
19	41	2024
20	43	2032
21	45	2029
22	47	2019
23	49	2011
24	51	2000
25	53	1993
26	55	1987
27	57	1985
28	59	1986
29	61	1982
30	63	1987
31	65	1980
32	67	1986
33	69	1986
34	72	1987
35	74	1986
36	76	1987
37	78	1986
38	80	1987
39	82	1982
40	84	1977
41	86	1977
42	88	1977
43	91	1981
44	93	1979
45	95	1982
46	97	1982
47	99	1979
48	101	1979
49	104	1976
50	106	1976
51	108	1974
52	110	1978
53	112	1975
54	114	1972
55	117	1978
56	119	1976
57	121	1978
58	124	1981
59	126	1981
60	128	1979
61	130	1979
62	133	1980
63	135	1979
64	138	1997
65	141	1996
66	143	1994
67	145	1995
68	148	1998
69	150	1998
70	153	2002
71	155	2003
72	158	2014
73	162	2036
74	165	2038
75	168	2044
76	171	2050
77	173	2050
78	175	2050
79	178	2050
80	180	2047
81	183	2050
82	186	2058
83	189	2064
84	192	2070
85	196	2088
86	199	2088
87	201	2093
88	205	2100
89	208	2110
90	211	2112
91	213	2111
92	216	2114
93	219	2116
94	221	2114
95	224	2113
96	226	2109
97	228	2106
98	232	2112
99	234	2110
100	237	2113
101	240	2113
102	242	2108
103	244	2109
104	247	2111
105	250	2116
106	253	2118
107	256	2114
108	258	2114
109	261	2111
110	263	2110
111	266	2115
112	269	2113
113	272	2116
114	275	2118
115	278	2122
116	282	2129
117	285	2134
118	288	2138
119	292	2144
120	295	2147
121	300	2159
122	303	2161
123	305	2161
124	308	2162
125	313	2171
126	316	2172
127	318	2170
128	321	2171
129	326	2183
130	330	2191
131	333	2191
132	335	2189
133	339	2190
134	342	2193
135	345	2193
136	348	2196
137	353	2210
138	364	2258
139	374	2297
140	405	2469
141	408	2467
142	410	2461
143	412	2454
144	422	2491
145	425	2486
146	427	2479
147	429	2473
148	431	2466
149	435	2466
150	437	2461
151	440	2455
152	442	2447
153	444	2440
154	446	2432
155	448	2426
156	451	2421
157	453	2416
158	455	2410
159	457	2404
160	460	2397
161	462	2391
162	464	2385
163	467	2381
164	469	2377
165	472	2371
166	474	2365
167	477	2362
168	479	2357
169	482	2355
170	485	2352
171	487	2346
172	489	2339
173	491	2334
174	494	2328
175	496	2322
176	499	2320
177	501	2315
178	503	2309
179	505	2303
180	507	2297
181	510	2292
182	512	2287
183	515	2285
184	517	2281
185	520	2277
186	523	2275
187	525	2269
188	527	2263
189	530	2262
190	533	2258
191	535	2252
192	537	2246
193	539	2240
194	541	2235
195	544	2233
196	547	2231
197	549	2226
198	551	2220
199	553	2215
200	555	2209
201	557	2204
202	560	2198
203	562	2194
204	564	2190
205	567	2185
206	568	2177
207	570	2172
208	572	2167
209	574	2161
210	576	2157
211	579	2152
212	581	2147
213	583	2141
214	585	2136
215	587	2132
216	589	2127
217	591	2122
218	593	2118
219	596	2113
220	598	2108
221	600	2103
222	602	2099
223	604	2094
224	606	2089
225	608	2085
226	611	2080
227	613	2076
228	614	2069
229	616	2065
230	619	2060
231	621	2056
232	623	2052
233	625	2048
234	627	2043
235	629	2038
236	631	2034
237	633	2029
238	635	2024
239	637	2019
240	639	2015
241	641	2010
242	644	2006
243	646	2001
244	648	1997
245	650	1992
246	652	1988
247	654	1983
248	657	1981
249	659	1978
250	661	1975
251	663	1970
252	664	1963
253	666	1958
254	668	1954
255	670	1949
256	673	1947
257	676	1945
258	678	1941
259	680	1936
260	682	1932
261	684	1927
262	686	1923
263	689	1920
264	691	1917
265	693	1913
266	695	1909
267	697	1904
268	699	1900
269	701	1895
270	702	1890
271	705	1888
272	707	1883
273	709	1879
274	711	1875
275	713	1871
276	715	1867
277	717	1863
278	719	1859
279	721	1855
280	723	1852
281	725	1848
282	728	1844
283	730	1840
284	732	1836
285	734	1833
286	736	1830
287	738	1826
288	741	1823
289	743	1819
290	745	1815
291	747	1811
292	749	1809
293	752	1805
294	754	1802
295	756	1799
296	758	1796
297	760	1792
298	762	1788
299	764	1784
300	767	1781
301	769	1778
302	771	1775
303	773	1771
304	775	1767
305	777	1763
306	779	1760
307	781	1756
308	784	1753
309	786	1751
310	788	1747
311	790	1743
312	792	1740
313	794	1736
314	796	1733
315	798	1729
316	801	1726
317	803	1722
318	805	1718
319	807	1716
320	810	1713
321	812	1710
322	814	1707
323	816	1704
324	819	1701
325	821	1697
326	823	1694
327	825	1691
328	828	1689
329	830	1686
330	833	1683
331	835	1681
332	838	1678
333	840	1675
334	842	1672
335	844	1669
336	848	1670
337	851	1667
338	854	1666
339	857	1664
340	859	1661
341	863	1661
342	866	1659
343	869	1657
344	871	1655
345	874	1652
346	879	1654
347	882	1653
348	885	1651
349	887	1648
350	890	1646
351	893	1645
352	897	1645
353	900	1642
354	902	1639
355	905	1638
356	908	1635
357	912	1637
358	915	1634
359	917	1631
360	920	1629
361	922	1626
362	927	1627
363	930	1625
364	932	1623
365	935	1620
366	937	1617
367	942	1618
368	945	1616
369	948	1614
370	950	1611
371	953	1609
372	958	1610
373	962	1611
